timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661285787493,3910,Checkout,200,OK,Thread Group 1-15,text,true,,277,208,50,50,http://localhost:6060/checkout,3910,0,0
1661285789352,2074,Search items,200,OK,Thread Group 1-36,text,true,,293,206,50,50,http://localhost:6060/search,2074,0,0
1661285789447,1989,Login,200,OK,Thread Group 1-48,text,true,,291,205,50,50,http://localhost:6060/login,1989,0,0
1661285787024,4430,Checkout,200,OK,Thread Group 1-37,text,true,,277,208,50,50,http://localhost:6060/checkout,4430,0,0
1661285790535,951,Home page,200,OK,Thread Group 1-40,text,true,,239,116,50,50,http://localhost:6060/,951,0,0
1661285789871,1623,Add item to cart,200,OK,Thread Group 1-24,text,true,,282,209,50,50,http://localhost:6060/cart/item,1623,0,0
1661285789989,1543,Checkout,200,OK,Thread Group 1-13,text,true,,277,208,50,50,http://localhost:6060/checkout,1543,0,0
1661285789455,2085,Search items,200,OK,Thread Group 1-6,text,true,,293,206,50,50,http://localhost:6060/search,2085,0,0
1661285788605,2952,Login,200,OK,Thread Group 1-16,text,true,,291,205,50,50,http://localhost:6060/login,2952,0,0
1661285790524,1041,Home page,200,OK,Thread Group 1-25,text,true,,239,116,50,50,http://localhost:6060/,1041,0,1
1661285790258,1344,Login,200,OK,Thread Group 1-38,text,true,,291,205,50,50,http://localhost:6060/login,1344,0,0
1661285790653,984,Home page,200,OK,Thread Group 1-41,text,true,,239,116,50,50,http://localhost:6060/,984,0,1
1661285790014,1725,Search items,200,OK,Thread Group 1-39,text,true,,293,206,50,50,http://localhost:6060/search,1725,0,0
1661285790983,757,Add item to cart,200,OK,Thread Group 1-12,text,true,,282,209,50,50,http://localhost:6060/cart/item,757,0,0
1661285789351,2393,Checkout,200,OK,Thread Group 1-8,text,true,,277,208,50,50,http://localhost:6060/checkout,2393,0,0
1661285789621,2243,Login,200,OK,Thread Group 1-3,text,true,,291,205,50,50,http://localhost:6060/login,2243,0,0
1661285790815,1101,Login,200,OK,Thread Group 1-32,text,true,,291,205,50,50,http://localhost:6060/login,1101,0,0
1661285789868,2114,Login,200,OK,Thread Group 1-28,text,true,,291,205,50,50,http://localhost:6060/login,2114,0,0
1661285789607,2394,Login,200,OK,Thread Group 1-31,text,true,,291,205,50,50,http://localhost:6060/login,2394,0,0
1661285787560,4467,Checkout,200,OK,Thread Group 1-29,text,true,,277,208,50,50,http://localhost:6060/checkout,4467,0,0
1661285790386,1644,Add item to cart,200,OK,Thread Group 1-7,text,true,,282,209,50,50,http://localhost:6060/cart/item,1644,0,0
1661285788412,3656,Checkout,200,OK,Thread Group 1-46,text,true,,277,208,50,50,http://localhost:6060/checkout,3656,0,0
1661285790653,1489,Search items,200,OK,Thread Group 1-21,text,true,,293,206,50,50,http://localhost:6060/search,1489,0,0
1661285791028,1182,Login,200,OK,Thread Group 1-50,text,true,,291,205,50,50,http://localhost:6060/login,1182,0,0
1661285790068,2142,Login,200,OK,Thread Group 1-19,text,true,,291,205,50,50,http://localhost:6060/login,2142,0,0
1661285789908,2319,Search items,200,OK,Thread Group 1-44,text,true,,293,206,50,50,http://localhost:6060/search,2319,0,0
1661285790592,1635,Add item to cart,200,OK,Thread Group 1-45,text,true,,282,209,50,50,http://localhost:6060/cart/item,1635,0,0
1661285791124,1226,Add item to cart,200,OK,Thread Group 1-17,text,true,,282,209,50,50,http://localhost:6060/cart/item,1226,0,0
1661285790899,1456,Home page,200,OK,Thread Group 1-11,text,true,,239,116,50,50,http://localhost:6060/,1456,0,0
1661285791403,967,Home page,200,OK,Thread Group 1-15,text,true,,239,116,50,50,http://localhost:6060/,967,0,1
1661285791436,971,Search items,200,OK,Thread Group 1-48,text,true,,293,206,50,50,http://localhost:6060/search,971,0,0
1661285791532,887,Home page,200,OK,Thread Group 1-13,text,true,,239,116,50,50,http://localhost:6060/,887,0,1
1661285788251,4192,Checkout,200,OK,Thread Group 1-43,text,true,,277,208,50,50,http://localhost:6060/checkout,4192,0,0
1661285791454,1001,Home page,200,OK,Thread Group 1-37,text,true,,239,116,50,50,http://localhost:6060/,1001,0,1
1661285791319,1179,Home page,200,OK,Thread Group 1-35,text,true,,239,116,50,50,http://localhost:6060/,1179,0,1
1661285791245,1274,Home page,200,OK,Thread Group 1-4,text,true,,239,116,50,50,http://localhost:6060/,1274,0,1
1661285791486,1036,Login,200,OK,Thread Group 1-40,text,true,,291,205,50,50,http://localhost:6060/login,1036,0,0
1661285788285,4279,Checkout,200,OK,Thread Group 1-42,text,true,,277,208,50,50,http://localhost:6060/checkout,4279,0,0
1661285790267,2302,Search items,200,OK,Thread Group 1-5,text,true,,293,206,50,50,http://localhost:6060/search,2302,0,0
1661285788360,4284,Checkout,200,OK,Thread Group 1-23,text,true,,277,208,50,50,http://localhost:6060/checkout,4284,0,0
1661285791744,902,Home page,200,OK,Thread Group 1-8,text,true,,239,116,50,50,http://localhost:6060/,902,0,1
1661285791426,1256,Add item to cart,200,OK,Thread Group 1-36,text,true,,282,209,50,50,http://localhost:6060/cart/item,1256,0,0
1661285792068,620,Home page,200,OK,Thread Group 1-46,text,true,,239,116,50,50,http://localhost:6060/,620,0,0
1661285792001,797,Search items,200,OK,Thread Group 1-31,text,true,,293,206,50,50,http://localhost:6060/search,797,0,0
1661285789383,3486,Checkout,200,OK,Thread Group 1-49,text,true,,277,208,50,50,http://localhost:6060/checkout,3486,0,0
1661285789469,3438,Checkout,200,OK,Thread Group 1-27,text,true,,277,208,50,50,http://localhost:6060/checkout,3438,0,0
1661285791540,1442,Add item to cart,200,OK,Thread Group 1-6,text,true,,282,209,50,50,http://localhost:6060/cart/item,1442,0,0
1661285792027,1064,Home page,200,OK,Thread Group 1-29,text,true,,239,116,50,50,http://localhost:6060/,1064,0,1
1661285792142,965,Add item to cart,200,OK,Thread Group 1-21,text,true,,282,209,50,50,http://localhost:6060/cart/item,965,0,0
1661285791055,2055,Login,200,OK,Thread Group 1-10,text,true,,291,205,50,50,http://localhost:6060/login,2055,0,0
1661285791982,1198,Search items,200,OK,Thread Group 1-28,text,true,,293,206,50,50,http://localhost:6060/search,1198,0,0
1661285791065,2115,Login,200,OK,Thread Group 1-26,text,true,,291,205,50,50,http://localhost:6060/login,2115,0,0
1661285791602,1708,Search items,200,OK,Thread Group 1-38,text,true,,293,206,50,50,http://localhost:6060/search,1708,0,0
1661285791318,2002,Login,200,OK,Thread Group 1-30,text,true,,291,205,50,50,http://localhost:6060/login,2002,0,0
1661285791740,1604,Add item to cart,200,OK,Thread Group 1-39,text,true,,282,209,50,50,http://localhost:6060/cart/item,1604,0,0
1661285790893,2482,Login,200,OK,Thread Group 1-20,text,true,,291,205,50,50,http://localhost:6060/login,2482,0,0
1661285790643,2732,Login,200,OK,Thread Group 1-34,text,true,,291,205,50,50,http://localhost:6060/login,2732,0,0
1661285792645,730,Home page,200,OK,Thread Group 1-23,text,true,,239,116,50,50,http://localhost:6060/,730,0,0
1661285791352,2051,Login,200,OK,Thread Group 1-9,text,true,,291,205,50,50,http://localhost:6060/login,2051,0,0
1661285792907,535,Home page,200,OK,Thread Group 1-27,text,true,,239,116,50,50,http://localhost:6060/,535,0,1
1661285792407,1072,Add item to cart,200,OK,Thread Group 1-48,text,true,,282,209,50,50,http://localhost:6060/cart/item,1072,0,0
1661285791916,1588,Search items,200,OK,Thread Group 1-32,text,true,,293,206,50,50,http://localhost:6060/search,1588,0,0
1661285792569,935,Add item to cart,200,OK,Thread Group 1-5,text,true,,282,209,50,50,http://localhost:6060/cart/item,935,0,0
1661285791108,2455,Search items,200,OK,Thread Group 1-18,text,true,,293,206,50,50,http://localhost:6060/search,2455,0,0
1661285792370,1240,Login,200,OK,Thread Group 1-15,text,true,,291,205,50,50,http://localhost:6060/login,1240,0,0
1661285792869,745,Home page,200,OK,Thread Group 1-49,text,true,,239,116,50,50,http://localhost:6060/,745,0,0
1661285792227,1425,Add item to cart,200,OK,Thread Group 1-44,text,true,,282,209,50,50,http://localhost:6060/cart/item,1425,0,0
1661285790848,2866,Checkout,200,OK,Thread Group 1-22,text,true,,277,208,50,50,http://localhost:6060/checkout,2866,0,0
1661285792564,1157,Home page,200,OK,Thread Group 1-42,text,true,,239,116,50,50,http://localhost:6060/,1157,0,0
1661285789714,4027,Checkout,200,OK,Thread Group 1-14,text,true,,277,208,50,50,http://localhost:6060/checkout,4027,0,0
1661285790608,3142,Login,200,OK,Thread Group 1-33,text,true,,291,205,50,50,http://localhost:6060/login,3142,0,0
1661285792798,970,Add item to cart,200,OK,Thread Group 1-31,text,true,,282,209,50,50,http://localhost:6060/cart/item,970,0,0
1661285789957,3867,Checkout,200,OK,Thread Group 1-1,text,true,,277,208,50,50,http://localhost:6060/checkout,3867,0,0
1661285792210,1633,Search items,200,OK,Thread Group 1-50,text,true,,293,206,50,50,http://localhost:6060/search,1633,0,0
1661285792443,1433,Home page,200,OK,Thread Group 1-43,text,true,,239,116,50,50,http://localhost:6060/,1433,0,0
